price,lotsize(m^2),bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea
74700,658.4798999999999,3,1,1,1,1,1,0,0,2,1
85000,652.4388,3,1,1,1,0,1,0,1,2,1
68500,650.58,3,1,2,1,0,1,0,0,0,0
82900,650.58,3,1,1,1,0,1,0,0,2,1
86000,641.286,3,2,1,1,1,1,0,0,0,1
78900,641.286,3,1,1,1,1,1,0,0,0,1
69000,637.75428,3,1,2,1,0,0,0,1,2,1
77500,634.3154999999999,3,1,1,1,1,1,0,1,0,1
86000,631.992,2,1,1,1,1,1,0,0,2,0
91700,627.345,2,1,1,1,1,1,0,0,2,1
70000,624.5568,3,1,1,1,0,0,0,0,0,0
77000,623.6274,3,2,2,1,1,1,0,0,1,1
93000,619.9098,3,1,3,1,0,1,0,0,0,1
80750,618.9803999999999,4,2,2,1,1,1,0,0,1,1
87000,614.7981,4,2,2,1,1,0,1,0,1,0
89900,613.404,3,2,3,1,0,0,0,1,0,1
89000,613.404,3,2,1,1,0,1,0,1,0,1
87000,613.404,3,1,1,1,1,1,0,0,2,1
72000,613.404,3,1,1,1,1,1,0,0,0,1
80000,613.404,4,2,1,1,0,1,0,0,0,1
78000,613.404,4,2,2,1,1,1,0,0,0,1
85000,607.8276,3,1,1,1,1,1,0,0,2,1
75000,607.8276,4,2,2,0,0,0,0,1,0,0
85000,606.4335,3,2,4,1,0,0,0,0,1,0
84000,604.11,3,2,3,1,0,0,0,1,0,0
62000,599.463,4,1,2,1,0,0,0,0,0,0
76900,599.463,3,2,1,1,1,1,1,0,0,0
67900,598.5336,2,1,1,1,0,0,0,1,3,0
87500,596.6748,3,1,3,1,0,1,0,0,0,1
85000,596.6748,3,1,1,1,0,1,0,1,0,1
90000,594.8159999999999,3,1,1,1,1,1,0,1,1,1
63900,591.0984,2,1,1,1,0,1,0,1,1,0
82000,591.0984,3,1,1,1,1,1,0,1,2,1
80000,591.0984,3,1,3,1,0,0,0,0,0,1
88500,590.169,3,2,3,1,1,0,0,1,0,0
68000,587.47374,3,1,2,1,0,1,0,1,1,0
70000,585.5219999999999,3,1,1,1,0,0,0,1,2,0
85000,581.24676,4,2,1,1,0,1,0,0,1,1
78000,577.1573999999999,4,1,4,1,1,0,0,1,0,0
79000,566.934,3,2,1,1,0,1,0,0,2,1
78000,566.934,3,1,3,1,1,0,0,1,0,1
73000,566.934,3,1,1,1,0,1,0,1,0,1
74900,562.2869999999999,3,1,1,1,0,1,0,0,0,1
69000,561.3575999999999,3,1,1,1,0,0,0,0,2,1
82500,557.64,3,2,4,1,0,0,0,1,0,0
67000,557.64,2,1,1,1,0,1,0,1,1,0
59000,556.2459,3,1,1,1,0,1,0,0,0,0
70500,552.8071199999999,3,1,2,1,0,0,0,1,0,0
64000,546.9519,2,1,1,1,0,0,0,1,1,0
60000,543.699,2,1,1,1,1,1,0,0,2,0
83000,541.65432,4,1,4,1,1,0,0,0,0,0
60000,539.052,3,1,1,1,0,0,1,0,2,0
82000,539.052,3,2,4,1,0,0,0,1,0,0
70000,539.052,2,1,1,1,1,1,0,1,0,0
72500,531.6168,2,1,2,1,0,0,0,1,0,1
66000,527.8992,3,1,2,1,1,0,0,1,1,0
58500,520.4639999999999,2,1,1,1,0,0,0,1,0,0
56000,511.17,4,1,2,1,1,1,0,0,0,0
83900,511.17,3,1,3,1,1,0,0,1,1,0
60000,511.17,3,1,2,1,0,0,0,1,0,0
80000,511.17,3,2,2,1,0,0,0,0,1,0
75000,511.17,3,2,1,1,0,1,0,0,0,0
57500,501.876,3,1,1,1,0,0,0,0,3,0
82000,501.876,4,2,2,1,0,0,0,1,2,0
79500,501.876,5,1,2,1,1,1,0,1,0,1
67000,501.876,2,1,2,1,0,0,0,0,0,1
70000,501.876,4,1,2,1,0,0,0,0,0,0
65000,498.1584,3,1,2,1,0,0,0,0,2,1
65000,494.44079999999997,3,1,2,1,1,1,0,0,0,1
55000,492.582,5,2,2,1,0,0,0,0,0,0
75000,492.582,4,2,1,1,0,0,0,1,0,1
83000,483.28799999999995,3,1,3,1,0,0,0,1,0,0
67000,480.4998,3,1,4,1,0,0,0,1,0,0
80000,477.33984,3,1,2,1,1,1,0,1,0,1
60000,468.4176,3,1,2,1,0,1,0,1,0,0
66000,465.6294,3,1,2,1,0,1,0,0,0,0
82000,464.7,3,1,3,1,0,0,0,1,0,0
82000,464.7,3,1,3,1,0,0,0,1,0,0
80000,464.7,3,1,4,1,0,0,0,0,0,0
69900,464.2353,4,2,1,1,0,1,0,0,0,0
58000,463.95648,3,2,2,1,0,0,0,0,2,0
64900,463.7706,4,2,2,1,1,1,0,0,0,1
62600,460.053,4,1,2,1,0,0,0,1,0,0
62900,457.2648,3,1,2,1,0,0,0,0,1,0
63000,455.40599999999995,2,1,2,1,0,1,0,0,0,0
62900,453.5472,3,1,1,1,0,0,0,0,2,1
59500,449.82959999999997,3,1,2,1,0,0,0,0,1,0
54000,447.9708,3,1,2,1,0,0,0,0,0,0
69000,447.5061,2,1,1,1,0,0,0,1,0,1
80000,446.11199999999997,5,2,3,0,0,1,1,0,0,0
71900,446.11199999999997,2,1,1,1,1,1,0,0,0,0
70000,443.32379999999995,3,1,1,1,1,1,0,0,0,0
80000,436.818,4,1,2,1,1,1,0,1,1,0
70000,431.79924,3,1,2,1,1,1,0,0,2,0
59000,430.49807999999996,4,1,2,1,0,0,0,1,0,0
50000,427.524,4,1,2,1,0,0,0,0,0,0
75500,427.524,2,2,1,1,0,0,0,1,2,0
60000,427.524,3,2,2,1,0,0,0,1,1,0
70000,420.0888,3,1,2,1,0,1,0,1,0,0
65900,419.1594,4,2,2,1,0,1,0,0,0,0
